date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:34:27	52030/52030	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Dec%202020%2020:08:18%20GMT	https://themebeyond.com/html/agrifram/agrifram/index.html	C:/Users/ritik/OneDrive/Desktop/B.E%20Project/SmartAgri/Smart-Agri/themebeyond.com/html/agrifram/agrifram/index.html	(from )
16:34:29	151/151	---MCZ	200	added ('OK')	text/plain	date:Fri,%2005%20Feb%202021%2011:04:31%20GMT	https://themebeyond.com/robots.txt		(from )
16:34:30	2028/2028	---M--	200	added ('OK')	image/png	date:Sun,%2031%20May%202020%2009:51:44%20GMT	https://themebeyond.com/html/agrifram/agrifram/img/favicon.png	C:/Users/ritik/OneDrive/Desktop/B.E%20Project/SmartAgri/Smart-Agri/themebeyond.com/html/agrifram/agrifram/img/favicon.png	(from https://themebeyond.com/html/agrifram/agrifram/index.html)
16:34:31	159515/159515	---MCZ	200	added ('OK')	text/css	date:Sun,%2031%20May%202020%2011:47:48%20GMT	https://themebeyond.com/html/agrifram/agrifram/css/bootstrap.min.css	C:/Users/ritik/OneDrive/Desktop/B.E%20Project/SmartAgri/Smart-Agri/themebeyond.com/html/agrifram/agrifram/css/bootstrap.min.css	(from https://themebeyond.com/html/agrifram/agrifram/index.html)
16:34:31	68596/68596	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Jun%202020%2011:45:02%20GMT	https://themebeyond.com/html/agrifram/agrifram/css/animate.min.css	C:/Users/ritik/OneDrive/Desktop/B.E%20Project/SmartAgri/Smart-Agri/themebeyond.com/html/agrifram/agrifram/css/animate.min.css	(from https://themebeyond.com/html/agrifram/agrifram/index.html)
16:34:32	6951/6951	---M-Z	200	added ('OK')	text/css	date:Mon,%2005%20Jun%202017%2001:11:48%20GMT	https://themebeyond.com/html/agrifram/agrifram/css/magnific-popup.css	C:/Users/ritik/OneDrive/Desktop/B.E%20Project/SmartAgri/Smart-Agri/themebeyond.com/html/agrifram/agrifram/css/magnific-popup.css	(from https://themebeyond.com/html/agrifram/agrifram/index.html)
16:34:32	58524/58524	---M-Z	200	added ('OK')	text/css	date:Sun,%2031%20May%202020%2009:15:44%20GMT	https://themebeyond.com/html/agrifram/agrifram/css/fontawesome-all.min.css	C:/Users/ritik/OneDrive/Desktop/B.E%20Project/SmartAgri/Smart-Agri/themebeyond.com/html/agrifram/agrifram/css/fontawesome-all.min.css	(from https://themebeyond.com/html/agrifram/agrifram/index.html)
16:34:33	3352/3352	---M-Z	200	added ('OK')	text/css	date:Fri,%2019%20Jun%202020%2000:50:14%20GMT	https://themebeyond.com/html/agrifram/agrifram/css/owl.carousel.min.css	C:/Users/ritik/OneDrive/Desktop/B.E%20Project/SmartAgri/Smart-Agri/themebeyond.com/html/agrifram/agrifram/css/owl.carousel.min.css	(from https://themebeyond.com/html/agrifram/agrifram/index.html)
16:34:34	3620/3620	---M-Z	200	added ('OK')	text/css	date:Sun,%2008%20Mar%202020%2014:59:22%20GMT	https://themebeyond.com/html/agrifram/agrifram/css/odometer.css	C:/Users/ritik/OneDrive/Desktop/B.E%20Project/SmartAgri/Smart-Agri/themebeyond.com/html/agrifram/agrifram/css/odometer.css	(from https://themebeyond.com/html/agrifram/agrifram/index.html)
16:34:34	34685/34685	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Jun%202020%2018:34:52%20GMT	https://themebeyond.com/html/agrifram/agrifram/css/jquery-ui.css	C:/Users/ritik/OneDrive/Desktop/B.E%20Project/SmartAgri/Smart-Agri/themebeyond.com/html/agrifram/agrifram/css/jquery-ui.css	(from https://themebeyond.com/html/agrifram/agrifram/index.html)
